group,run,tag,x,value
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,56,0.03221713379025459
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,57,0.032207392156124115
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,58,0.03215709328651428
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,59,0.0320613719522953
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,60,0.032438233494758606
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,61,0.032332517206668854
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,62,0.032039009034633636
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,63,0.032155707478523254
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,64,0.03217623382806778
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,65,0.03229780122637749
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,66,0.03163466230034828
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,67,0.031735338270664215
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,68,0.031643711030483246
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,69,0.03174468129873276
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,70,0.03138338774442673
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,71,0.03166167065501213
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,72,0.03185264766216278
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,73,0.03187744319438934
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,74,0.03150569275021553
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,75,0.031432390213012695
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,76,0.03167283535003662
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,77,0.03178223967552185
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,78,0.03170609474182129
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,79,0.03177015483379364
ted_expressive|vae,vae_logs_ted_expressive_beta1e-6,val/loss,80,0.031224898993968964
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,1,0.07807860523462296
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,2,0.06647884845733643
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,3,0.0626397430896759
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,4,0.06219501793384552
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,5,0.0610390305519104
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,6,0.059748269617557526
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,7,0.05971385911107063
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,8,0.05871432274580002
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,9,0.05906220152974129
