run,tag,x,value
vae_logs_ted_expressive_beta1e-2,val/loss,57,0.14288102090358734
vae_logs_ted_expressive_beta1e-2,val/loss,58,0.14287495315074922
vae_logs_ted_expressive_beta1e-2,val/loss,59,0.14297229051589966
vae_logs_ted_expressive_beta1e-2,val/loss,60,0.14305510520935058
vae_logs_ted_expressive_beta1e-2,val/loss,61,0.14308250248432158
vae_logs_ted_expressive_beta1e-2,val/loss,62,0.14308332800865173
vae_logs_ted_expressive_beta1e-2,val/loss,63,0.14303463697433472
vae_logs_ted_expressive_beta1e-2,val/loss,64,0.14304726719856262
vae_logs_ted_expressive_beta1e-2,val/loss,65,0.14305755794048308
vae_logs_ted_expressive_beta1e-2,val/loss,66,0.1431053340435028
vae_logs_ted_expressive_beta1e-2,val/loss,67,0.14301766753196715
vae_logs_ted_expressive_beta1e-2,val/loss,68,0.14307554066181183
vae_logs_ted_expressive_beta1e-2,val/loss,69,0.1429490178823471
vae_logs_ted_expressive_beta1e-2,val/loss,70,0.14325200021266937
vae_logs_ted_expressive_beta1e-2,val/loss,71,0.14332124292850495
vae_logs_ted_expressive_beta1e-2,val/loss,72,0.14322427213191985
vae_logs_ted_expressive_beta1e-2,val/loss,73,0.14321240186691284
vae_logs_ted_expressive_beta1e-2,val/loss,74,0.1434044510126114
vae_logs_ted_expressive_beta1e-2,val/loss,75,0.14305983185768129
vae_logs_ted_expressive_beta1e-2,val/loss,76,0.1430143117904663
vae_logs_ted_expressive_beta1e-2,val/loss,77,0.14310895502567292
vae_logs_ted_expressive_beta1e-2,val/loss,78,0.1431189090013504
vae_logs_ted_expressive_beta1e-2,val/loss,79,0.14320235550403596
vae_logs_ted_expressive_beta1e-2,val/loss,80,0.14315547049045563
vae_logs_ted_expressive_beta1e-6,train/loss,1,0.08355055749416351
vae_logs_ted_expressive_beta1e-6,train/loss,2,0.07280958071351051
vae_logs_ted_expressive_beta1e-6,train/loss,3,0.06688869123657544
vae_logs_ted_expressive_beta1e-6,train/loss,4,0.06330116000026464
vae_logs_ted_expressive_beta1e-6,train/loss,5,0.060795466601848605
vae_logs_ted_expressive_beta1e-6,train/loss,6,0.054025473445653914
vae_logs_ted_expressive_beta1e-6,train/loss,7,0.05135779827833176
vae_logs_ted_expressive_beta1e-6,train/loss,8,0.049932944029569624
vae_logs_ted_expressive_beta1e-6,train/loss,9,0.04890437573194504
vae_logs_ted_expressive_beta1e-6,train/loss,10,0.048129136115312575
vae_logs_ted_expressive_beta1e-6,train/loss,11,0.04738491401076317
vae_logs_ted_expressive_beta1e-6,train/loss,12,0.046597135812044145
vae_logs_ted_expressive_beta1e-6,train/loss,13,0.045828858762979506
vae_logs_ted_expressive_beta1e-6,train/loss,14,0.045051108300685885
vae_logs_ted_expressive_beta1e-6,train/loss,15,0.0442295603454113
vae_logs_ted_expressive_beta1e-6,train/loss,16,0.043490345031023024
vae_logs_ted_expressive_beta1e-6,train/loss,17,0.04284919276833534
vae_logs_ted_expressive_beta1e-6,train/loss,18,0.04224630817770958
vae_logs_ted_expressive_beta1e-6,train/loss,19,0.041644831746816637
vae_logs_ted_expressive_beta1e-6,train/loss,20,0.04104652777314186
vae_logs_ted_expressive_beta1e-6,train/loss,21,0.04044966995716095
vae_logs_ted_expressive_beta1e-6,train/loss,22,0.03991622775793076
vae_logs_ted_expressive_beta1e-6,train/loss,23,0.03939386904239654
vae_logs_ted_expressive_beta1e-6,train/loss,24,0.03892853260040283
vae_logs_ted_expressive_beta1e-6,train/loss,25,0.03848698139190674
vae_logs_ted_expressive_beta1e-6,train/loss,26,0.03803364932537079
vae_logs_ted_expressive_beta1e-6,train/loss,27,0.03759845048189163
vae_logs_ted_expressive_beta1e-6,train/loss,28,0.03720758631825447
vae_logs_ted_expressive_beta1e-6,train/loss,29,0.0368010975420475
vae_logs_ted_expressive_beta1e-6,train/loss,30,0.03643023744225502
vae_logs_ted_expressive_beta1e-6,train/loss,31,0.03614867702126503
vae_logs_ted_expressive_beta1e-6,train/loss,32,0.03589032143354416
vae_logs_ted_expressive_beta1e-6,train/loss,33,0.03563577905297279
vae_logs_ted_expressive_beta1e-6,train/loss,34,0.03544037938117981
vae_logs_ted_expressive_beta1e-6,train/loss,35,0.035284566879272464
vae_logs_ted_expressive_beta1e-6,train/loss,36,0.0351427398622036
vae_logs_ted_expressive_beta1e-6,train/loss,37,0.03500105738639832
vae_logs_ted_expressive_beta1e-6,train/loss,38,0.034915265440940854
vae_logs_ted_expressive_beta1e-6,train/loss,39,0.034814529865980146
vae_logs_ted_expressive_beta1e-6,train/loss,40,0.03473459184169769
vae_logs_ted_expressive_beta1e-6,train/loss,41,0.034649547189474106
vae_logs_ted_expressive_beta1e-6,train/loss,42,0.034560974687337875
vae_logs_ted_expressive_beta1e-6,train/loss,43,0.03441807329654693
vae_logs_ted_expressive_beta1e-6,train/loss,44,0.034295008331537244
vae_logs_ted_expressive_beta1e-6,train/loss,45,0.034150365740060806
vae_logs_ted_expressive_beta1e-6,train/loss,46,0.034004323184490204
vae_logs_ted_expressive_beta1e-6,train/loss,47,0.033864106982946396
vae_logs_ted_expressive_beta1e-6,train/loss,48,0.03375817015767098
vae_logs_ted_expressive_beta1e-6,train/loss,49,0.033637214452028275
vae_logs_ted_expressive_beta1e-6,train/loss,50,0.033524570614099504
vae_logs_ted_expressive_beta1e-6,train/loss,51,0.033434752374887466
vae_logs_ted_expressive_beta1e-6,train/loss,52,0.033351042121648786
vae_logs_ted_expressive_beta1e-6,train/loss,53,0.03327299878001213
vae_logs_ted_expressive_beta1e-6,train/loss,54,0.033212410658597945
vae_logs_ted_expressive_beta1e-6,train/loss,55,0.03316764235496521
vae_logs_ted_expressive_beta1e-6,train/loss,56,0.0331089049577713
vae_logs_ted_expressive_beta1e-6,train/loss,57,0.03306412175297737
vae_logs_ted_expressive_beta1e-6,train/loss,58,0.033008141070604326
vae_logs_ted_expressive_beta1e-6,train/loss,59,0.03295251652598381
vae_logs_ted_expressive_beta1e-6,train/loss,60,0.03290727660059929
vae_logs_ted_expressive_beta1e-6,train/loss,61,0.03284957110881805
vae_logs_ted_expressive_beta1e-6,train/loss,62,0.03280046954751015
vae_logs_ted_expressive_beta1e-6,train/loss,63,0.032765022665262225
vae_logs_ted_expressive_beta1e-6,train/loss,64,0.032716266065835956
vae_logs_ted_expressive_beta1e-6,train/loss,65,0.032670310139656066
vae_logs_ted_expressive_beta1e-6,train/loss,66,0.03263961151242256
vae_logs_ted_expressive_beta1e-6,train/loss,67,0.032614221423864366
